geohash,day_of_week,weekend,day,hour,minute,n
9q59xd,3,0,12,22,20,35
9q59xd,3,0,12,22,25,35
9q59xd,3,0,12,22,35,35
9q59xd,4,0,13,21,25,35
9q59xd,4,0,13,22,0,35
9q59xd,4,0,13,22,10,35
9q59xd,5,0,14,22,30,35
9q59xd,5,0,14,22,35,35
9q59xd,5,0,14,22,45,35
9q59xd,6,1,15,21,5,35
9q59xd,6,1,15,21,10,35
9q59x3,5,0,14,23,20,34
9q59x3,5,0,14,23,30,34
9q59x3,5,0,14,23,50,34
9q59x3,5,0,14,23,55,34
9q59x6,6,1,15,23,0,34
9q59x6,6,1,15,23,5,34
9q59x8,3,0,12,22,15,34
9q59x8,3,0,12,22,25,34
9q59x8,3,0,12,23,0,34
9q59x8,3,0,12,23,25,34
9q59x8,3,0,12,23,35,34
9q59x8,4,0,13,22,50,34
9q59x8,4,0,13,22,55,34
9q59x8,4,0,13,23,0,34
9q59x8,4,0,13,23,5,34
9q59x8,4,0,13,23,55,34
9q59x9,4,0,13,21,15,34
9q59x9,4,0,13,21,20,34
9q59x9,5,0,14,22,15,34
9q59x9,5,0,14,22,20,34
9q59x9,5,0,14,22,25,34
9q59x9,5,0,14,22,30,34
9q59x9,5,0,14,23,40,34
9q59x9,5,0,14,23,45,34
9q59x9,5,0,14,23,50,34
9q59xd,3,0,12,21,40,34
9q59xd,3,0,12,22,0,34
9q59xd,3,0,12,22,5,34
9q59xd,3,0,12,22,30,34
9q59xd,4,0,13,22,15,34
9q59xd,4,0,13,22,20,34
9q59xd,5,0,14,22,5,34
9q59xd,5,0,14,22,10,34
9q59xd,5,0,14,22,15,34
9q59xd,5,0,14,22,20,34
9q59xd,5,0,14,22,40,34
9q59xd,5,0,14,22,50,34
9q59xd,5,0,14,22,55,34
9q59xd,5,0,14,23,0,34
9q59xd,5,0,14,23,10,34
9q59xd,5,0,14,23,15,34
9q59xd,5,0,14,23,20,34
9q59xd,5,0,14,23,25,34
9q59xd,6,1,15,21,0,34
9q59x3,6,1,15,21,15,33
9q59x3,6,1,15,21,20,33
9q59x6,3,0,12,21,0,33
9q59x6,3,0,12,21,30,33
9q59x6,3,0,12,21,35,33
9q59x6,3,0,12,21,55,33
9q59x6,3,0,12,22,15,33
9q59x6,3,0,12,22,20,33
9q59x6,6,1,15,22,55,33
9q59x6,6,1,15,23,10,33
9q59x6,6,1,15,23,15,33
9q59x8,3,0,12,23,5,33
9q59x8,3,0,12,23,40,33
9q59x8,4,0,13,23,15,33
9q59x8,4,0,13,23,20,33
9q59x8,4,0,13,23,25,33
9q59x8,4,0,13,23,40,33
9q59x9,4,0,13,21,25,33
9q59x9,5,0,14,21,35,33
9q59x9,5,0,14,21,40,33
9q59x9,5,0,14,22,10,33
9q59x9,5,0,14,22,55,33
9q59x9,5,0,14,23,0,33
9q59x9,5,0,14,23,55,33
9q59xd,3,0,12,21,50,33
9q59xd,3,0,12,21,55,33
9q59xd,4,0,13,21,10,33
9q59xd,4,0,13,21,15,33
9q59xd,5,0,14,21,55,33
9q59xd,5,0,14,22,0,33
9q59xd,5,0,14,22,25,33
9q59xd,5,0,14,23,5,33
9q59xd,5,0,14,23,30,33
9q59xd,5,0,14,23,35,33
9q59x3,2,0,11,22,30,32
9q59x3,2,0,11,22,35,32
9q59x3,6,1,15,21,10,32
9q59x3,6,1,15,23,50,32
9q59x3,6,1,15,23,55,32
9q59x6,3,0,12,21,5,32
9q59x6,3,0,12,21,10,32
9q59x6,3,0,12,21,20,32
9q59x6,3,0,12,21,25,32
9q59x6,3,0,12,21,45,32
9q59x6,3,0,12,21,50,32
9q59x6,6,1,15,22,20,32
9q59x6,6,1,15,22,50,32
9q59x6,6,1,15,23,20,32
9q59x8,3,0,12,22,20,32
9q59x8,4,0,13,23,10,32
9q59x9,5,0,14,23,5,32
9q59x9,5,0,14,23,10,32
9q59xd,3,0,12,21,25,32
9q59xd,3,0,12,21,30,32
9q59xd,4,0,13,21,0,32
9q59xd,4,0,13,21,5,32
9q59xd,5,0,14,21,35,32
9q59xd,5,0,14,21,50,32
